@RELATION spam
@ATTRIBUTE avg_RTs REAL
@ATTRIBUTE avg_favs REAL
@ATTRIBUTE bigram_control REAL
@ATTRIBUTE favorites REAL
@ATTRIBUTE followers REAL
@ATTRIBUTE friends REAL
@ATTRIBUTE geo_enabled REAL
@ATTRIBUTE mentions REAL
@ATTRIBUTE num_RTs REAL
@ATTRIBUTE num_hapexes REAL
@ATTRIBUTE num_hashtags REAL
@ATTRIBUTE num_links REAL
@ATTRIBUTE pct_hapexes REAL
@ATTRIBUTE screen_name_len REAL
@ATTRIBUTE status_count REAL
@ATTRIBUTE time_diff REAL
@ATTRIBUTE unigram_nospam REAL
@ATTRIBUTE unigram_spam REAL
@ATTRIBUTE unigram_total REAL
@ATTRIBUTE unique_bigrams REAL
@ATTRIBUTE Spam {True, False}
@DATA
8.3,0.0,97.0791484522,33597,1851,2010,0,1,1,41,98,15,0.0973871733967,15,3693,0,102.895775127,117.46488282,110.110606987,0.295739348371, False
0.05,0.05,99.7066808681,4,84,912,0,2,0,32,33,20,0.0672268907563,7,1564,2,136.872251428,148.336368124,143.669443706,0.528634361233, False
6.6,0.0,49.4045357293,323,1565,1596,0,3,1,38,1,14,0.19689119171,13,16705,0,52.010434821,55.6226426398,54.7763814792,0.505813953488, False
0.25,0.2,69.1806936,6,19,164,0,2,0,63,12,22,0.158291457286,14,85,18,111.943038875,115.672682079,115.372774739,0.687165775401, False
14.1578947368,0.0,92.0198872704,6409,546,586,0,1,1,57,74,22,0.130733944954,11,5172,3,114.559389141,125.181979809,121.199902437,0.535108958838, False
0.05,0.0,102.249928989,4,7389,2491,0,0,0,52,40,19,0.100970873786,12,3541,0,142.184492669,156.775311298,150.134897147,0.682926829268, False
49.9,0.0,52.3527037824,0,487,0,0,1,1,75,24,5,0.18337408313,8,50568,0,99.1684939786,103.533598187,101.919955024,0.897368421053, False
0.0,0.0,45.566287785,1,40,116,1,0,0,20,0,20,0.0434782608696,10,8289,1,77.228007069,106.719144052,86.0747771777,0.097619047619, False
47.85,0.0,76.7132463028,8473,4552,4549,0,0,0,46,6,3,0.0871212121212,10,25702,1,125.997016387,135.866829637,130.620694669,0.558, False
23.1,0.1,56.6830390297,81,6379,143,0,0,0,27,5,16,0.0876623376623,13,464,6,77.4762702372,82.6303054922,80.4146055969,0.579505300353, False
0.0,0.0,33.2514575051,3,3020,2950,0,0,0,5,0,20,0.0301204819277,13,741,0,40.5876039899,46.3871307362,42.9701603145,0.387323943662, False
435.9,0.0,45.2176966222,2473,185,1163,0,1,1,79,0,0,0.207894736842,11,1168,0,91.3371777419,93.2766994555,93.6665854773,0.82, False
81.95,72.15,55.9434337636,5,116484,106642,1,0,0,46,2,3,0.138554216867,8,1617,23,109.361510912,112.349353644,112.019241811,0.712903225806, False
0.7,0.0,70.5638753871,5550,2406,2639,0,0,0,36,36,20,0.120401337793,10,2195,0,86.0988671283,97.0628922832,91.4383734945,0.374100719424, False
0.0,0.0,41.2616877864,0,21,50,0,0,0,19,0,20,0.063122923588,11,65,18,60.1856889267,64.4754238614,62.3598714784,0.531598513011, False
1.95,0.0,125.45834817,5,8330,5602,0,0,0,53,69,20,0.094982078853,14,3718,0,165.188064235,185.169731497,175.719233152,0.586592178771, False
12.6,23.25,80.672427341,3,60219,54569,0,1,0,40,0,20,0.0842105263158,14,387,16,110.150743454,118.204414194,115.06306599,0.455357142857, False
281.95,0.0,68.766258958,3885,59711,37195,0,1,1,43,2,20,0.122159090909,13,6783,0,106.415972034,110.469815976,109.498988167,0.736363636364, False
0.0,0.0,67.6515728091,0,139,13,0,0,0,53,18,20,0.140957446809,11,120984,0,129.020695919,147.438579061,139.188081613,0.352112676056, False
14.05,0.0,82.2404536704,219,24165,1580,0,0,0,49,16,21,0.109619686801,11,1071,1,151.034095668,159.230093082,155.835670249,0.62441314554, False
170.4,0.0,82.9622319376,1,598,580,0,1,1,3,0,19,0.00655021834061,9,266,0,107.243759399,121.477899341,113.230477392,0.527649769585, False
1.0,1.0,45.7058931488,458,554,835,0,1,0,62,9,4,0.17032967033,14,1888,5,93.409469202,93.9048536435,94.8399388684,0.917159763314, False
0.4,0.1,61.2968451512,14,4720,591,0,1,0,30,21,20,0.0840336134454,10,195394,0,107.510467873,111.813170882,110.479223239,0.814371257485, False
0.0,0.5,43.5973620398,66,95,637,0,0,0,31,87,40,0.0672451193059,13,462,11,45.1934822363,52.7039378348,48.5250092451,0.184729064039, False
0.0,0.2,35.2139079772,19,27,123,0,0,0,30,0,20,0.100334448161,8,603,9,56.7714543368,59.9065905212,58.9006611454,0.609848484848, False
0.0,0.0,16.9086306111,3,71,257,1,0,0,22,0,20,0.328358208955,15,29283,1,19.3633564733,20.5992261182,20.8094666716,0.586956521739, False
31.0,0.0,79.1550441711,1,68,83,1,1,1,47,63,9,0.118987341772,15,5661,2,107.369848854,117.29544713,113.35720123,0.491935483871, False
240.3,0.0,107.743265552,3690,686,1968,1,2,1,60,23,15,0.0974025974026,10,21702,0,146.808320558,153.58191357,151.928247864,0.694915254237, False
8.25,0.0,55.4381926421,1,120,1790,0,0,0,55,16,18,0.132850241546,9,1222,4,88.4697938755,93.3328006971,91.9103221502,0.738903394256, False
808.4,0.0,84.0392201509,88,553,1990,0,0,0,50,25,13,0.0892857142857,13,23912,1,116.767575086,121.601071038,120.230142762,0.672932330827, False
0.15,0.0,42.0789797665,58,996,1990,1,0,0,30,6,18,0.106007067138,6,3438,5,75.5578882882,77.0205148364,76.9593941761,0.68093385214, False
263.1,0.0,40.5973356082,762,63,303,0,1,0,58,17,18,0.137440758294,8,3239,4,69.5764553934,71.9739123854,71.5668715637,0.782152230971, False
0.0,0.15,48.3353753352,95,48,81,1,0,0,28,0,20,0.0762942779292,7,1864,16,83.4224439568,88.1623215002,85.9350432021,0.688427299703, False
1.7,0.05,79.5127997719,269,25,34,1,1,0,26,11,12,0.0691489361702,14,1815,1,107.666402292,117.736921433,112.299775538,0.251412429379, False
0.0,0.0,39.1734559512,1,155,236,1,0,0,22,0,20,0.0859375,9,704,59,56.402082853,60.6957014819,59.0593627208,0.533039647577, False
0.0,0.0,100.957200157,0,2,1,0,0,0,55,20,20,0.135467980296,13,173,4,111.348175133,125.28175957,119.274848219,0.366233766234, False
60.8888888889,33.4444444444,81.3603441385,3,20465,18226,0,1,0,16,0,9,0.090395480226,12,250,4,123.11678183,128.131375282,126.530461749,0.724550898204, False
0.05,0.05,68.8475615874,0,5092,247,0,3,0,63,44,20,0.138766519824,14,8307,0,116.466959164,118.348799854,118.777390797,0.665887850467, False
51.0,6.0,49.4638888362,3,16593,14823,0,1,0,3,0,5,0.0309278350515,9,43,22,76.3198435067,81.2955224468,78.9992334137,0.818181818182, False
1.05,0.05,55.7170638293,125,415,1477,0,0,0,26,9,18,0.0749279538905,13,2814,2,94.7217442616,100.94339258,98.4446261844,0.649068322981, False
41.55,0.05,55.2259798984,60,77,958,0,1,0,47,10,21,0.122077922078,12,1196,1,88.4786196141,93.5550684752,92.068071985,0.738764044944, False
17.95,0.0,80.8660256985,0,547,1718,0,1,1,86,13,16,0.217171717172,14,3644,0,115.305321208,122.076304486,121.478562456,0.716577540107, False
0.05,0.05,36.0739862123,4050,10054,8952,1,0,0,45,0,21,0.121621621622,15,17064,0,80.7802669291,85.4006374904,83.6668979619,0.764880952381, False
0.05,0.0,13.8449946473,0,381,323,0,0,0,21,0,16,0.276315789474,11,396,2,18.5239099222,19.6358782529,19.7435979092,0.648148148148, False
0.0,0.0,113.422188216,2,41,1575,1,0,0,24,38,20,0.0526315789474,9,32,38,113.529894786,131.101821834,121.062254682,0.124423963134, False
0.0,0.0,32.0424356452,0,289,369,0,0,0,35,0,20,0.114379084967,12,26486,1,48.8072438824,53.5151862326,51.8122578352,0.516981132075, False
